candidate_name,party_name_expanded,secured_votes,percentage_of_votes,state_name,constituency_name,party_name
ANIL YESHWANT DESAI,Shiv Sena (Uddhav Balasaheb Thackrey),395138,49.73,Maharashtra,Mumbai South Central,SS (UBT)
RAHUL RAMESH SHEWALE,Shiv Sena,341754,43.01,Maharashtra,Mumbai South Central,SS
ABUL HASAN ALI HASAN KHAN,Vanchit Bahujan Aaghadi,23867,3,Maharashtra,Mumbai South Central,VBA
VIDHYASAGAR ALIAS SURESH BHIMRAO VIDHYAGAR,Bahujan Samaj Party,6532,0.82,Maharashtra,Mumbai South Central,BSP
AKASH LAXMAN KHARATMAL,Independent,1899,0.24,Maharashtra,Mumbai South Central,IND
ASHWINI KUMAR PATHAK,Independent,1612,0.2,Maharashtra,Mumbai South Central,IND
ADV. SANTOSH PUNJIRAM SANJKAR,Independent,1578,0.2,Maharashtra,Mumbai South Central,IND
KARAM HUSSAIN KITABULLAH KHAN,Peace Party,1537,0.19,Maharashtra,Mumbai South Central,PP
ADV. MAHENDRA TULSHIRAM BHINGARDIVE,Right to Recall Party,1444,0.18,Maharashtra,Mumbai South Central,RRP
SAEED CHOUDHARY,Social Democratic Party Of India,1191,0.15,Maharashtra,Mumbai South Central,SDPI
ISHWAR VILAS TATHAWADE,Rashtriya Mahaswaraj Bhumi Party,971,0.12,Maharashtra,Mumbai South Central,RMBP
DEEPAK M. CHAUGULE,Bahujan Republican Socialist Party,975,0.12,Maharashtra,Mumbai South Central,BRSP
JAHID ALI NASIR AHMED SHAIKH,Aazad Samaj Party (Kanshi Ram),959,0.12,Maharashtra,Mumbai South Central,ASP (KR)
DR. ARJUN MAHADEO MURUDKAR,Bharatheeya Jawan Kisan Party,930,0.12,Maharashtra,Mumbai South Central,BJKP
VIVEK YESHWANT PATIL,Independent,714,0.09,Maharashtra,Mumbai South Central,IND
NOTA,None of the Above,13423,1.69,Maharashtra,Mumbai South Central,NA
NITIN JAIRAM GADKARI,Bharatiya Janata Party,655027,54.08,Maharashtra,Nagpur,BJP
VIKAS THAKRE,Indian National Congress,517424,42.72,Maharashtra,Nagpur,INC
YOGIRAJ ALIAS YOGESH PATIRAM LANJEWAR,Bahujan Samaj Party,19242,1.59,Maharashtra,Nagpur,BSP
KIVINSUKA VIRENDRA SURYAVANSHI,Desh Janhit Party,2059,0.17,Maharashtra,Nagpur,DJP
ADARSH RAVISHANKAR THAKUR,Independent,1750,0.14,Maharashtra,Nagpur,IND
ADV ULHAS SHALIKRAM DUPARE,Independent,1348,0.11,Maharashtra,Nagpur,IND
FAHIM SHAMIM KHAN,Minorities Democratic Party,1073,0.09,Maharashtra,Nagpur,MDP
SURAJ BALRAM MISHRA,Kunbi Bahujan Sawrajya Party,817,0.07,Maharashtra,Nagpur,KBSP
TEKRAJ BELKHODE,Independent,808,0.07,Maharashtra,Nagpur,IND
GARUDADRI ANAND KUMAR,Akhil Bhartiya Parivar Party,720,0.06,Maharashtra,Nagpur,ABPP
DHANU WALTHARE,Independent,692,0.06,Maharashtra,Nagpur,IND
VIJAY MANKAR,Ambedkarite Party of India,610,0.05,Maharashtra,Nagpur,API
ADV. SANTOSH RAMKRISHNA LANJEWAR,All India Forward Bloc,567,0.05,Maharashtra,Nagpur,AIFB
VISHESH VASANTA FUTANE,Bahujan Republican Socialist Party,562,0.05,Maharashtra,Nagpur,BRSP
GUNWANT HARICHANDRA SOMKUWAR,Bharatheeya Jawan Kisan Party,471,0.04,Maharashtra,Nagpur,BJKP
SHRIDHAR NARAYAN SALVE,Bhim Sena,451,0.04,Maharashtra,Nagpur,BS
SUNIL WANKHEDE,Rashtra Samarpan Party,322,0.03,Maharashtra,Nagpur,RSP
DIPAK LAXMANRAO MASKE,Bahujan Maha Party,270,0.02,Maharashtra,Nagpur,BMP
NARAYAN TUKARAM CHOUDHARI,Socialist Unity Centre Of India (COMMUNIST),251,0.02,Maharashtra,Nagpur,SUCI (C)
SANTOSH TULSHIRAM CHAVHAN,Independent,242,0.02,Maharashtra,Nagpur,IND
SUSHIL PATIL,Independent,237,0.02,Maharashtra,Nagpur,IND
SACHIN RAMKRUSHNARAO WAGHADE,Independent,202,0.02,Maharashtra,Nagpur,IND
PRAFUL MANIKCHAND BHANGE,Independent,201,0.02,Maharashtra,Nagpur,IND
VINAYAK BHAURAO AWCHAT,Independent,190,0.02,Maharashtra,Nagpur,IND
BABITA RAJU AWASTHI,Independent,182,0.02,Maharashtra,Nagpur,IND
SAHIL BALCHAND TURKAR,Independent,129,0.01,Maharashtra,Nagpur,IND
NOTA,None of the Above,5474,0.45,Maharashtra,Nagpur,NA
CHAVAN VASANTRAO BALWANTRAO,Indian National Congress,528894,46.88,Maharashtra,Nanded,INC
CHIKHALIKAR PRATAPRAO GOVINDRAO,Bharatiya Janata Party,469452,41.61,Maharashtra,Nanded,BJP
AVINASH VISHWANATH BHOSIKAR,Vanchit Bahujan Aaghadi,92512,8.2,Maharashtra,Nanded,VBA
PANDURANG RAMA ADGULWAR,Bahujan Samaj Party,6901,0.61,Maharashtra,Nanded,BSP
NIKHIL LAXMANRAO GARJE,Independent,4325,0.38,Maharashtra,Nanded,IND
NAGESH SAMBHAJI GAIKWAD,Independent,3318,0.29,Maharashtra,Nanded,IND
BHASKAR CHAMPATRAO DOIFODE,Independent,2080,0.18,Maharashtra,Nanded,IND
SUSHILA NILKANTHRAO PAWAR,Samnak Janta Party,1890,0.17,Maharashtra,Nanded,SJP
ABDUL RAIS AHEMAD,Desh Janhit Party,1510,0.13,Maharashtra,Nanded,DJP
DEVIDAS GOVINDRAO INGLE,Independent,1471,0.13,Maharashtra,Nanded,IND
KALPANA SANJAY GAIKWAD,Independent,1310,0.12,Maharashtra,Nanded,IND
KAUSAR SULTANA,Indian National League,1215,0.11,Maharashtra,Nanded,INL
SAHEBRAO BHIVA GAJBHARE,Independent,1193,0.11,Maharashtra,Nanded,IND
JAGDISH LAXMAN POTRE,Independent,963,0.09,Maharashtra,Nanded,IND
GAJANAN DATTRAMJI DHUMAL,Independent,950,0.08,Maharashtra,Nanded,IND
LAXMAN NAGORAO PATIL,Independent,923,0.08,Maharashtra,Nanded,IND
MAHARUDRA KESHAV POPLAITKAR,Independent,913,0.08,Maharashtra,Nanded,IND
RUKMINBAI SHANKARRAO GITE,Bharatiya Praja Surajya Paksha,903,0.08,Maharashtra,Nanded,BPSP
HARI PIRAJI BOYALE,Bahujan Bharat Party,878,0.08,Maharashtra,Nanded,BBP
RATHOD SURESH GOPINATH,Independent,808,0.07,Maharashtra,Nanded,IND
KADAM SURAJ DEVENDRA,Independent,799,0.07,Maharashtra,Nanded,IND
RAHUL SURYAKANT YANGADE,Bahujan Mukti Party,737,0.07,Maharashtra,Nanded,BMP
DNYANESHWAR RAOSAHEB KAPATE,Independent,681,0.06,Maharashtra,Nanded,IND
NOTA,None of the Above,3628,0.32,Maharashtra,Nanded,NA
ADV GOWAAL KAGADA PADAVI,Indian National Congress,745998,53.53,Maharashtra,Nandurbar,INC
DR HEENA VIJAYKUMAR GAVIT,Bharatiya Janata Party,586878,42.11,Maharashtra,Nandurbar,BJP
ANANDA SUKALAL KOLI,Bahujan Samaj Party,10644,0.76,Maharashtra,Nandurbar,BSP
SUSHILKUMAR JAHANGIR PAWARA,Independent,8887,0.64,Maharashtra,Nandurbar,IND
NIRMALA VASAVE,Peoples Party of India (Democratic),6947,0.5,Maharashtra,Nandurbar,PPI (D)
ROHIDAS GEMAJI VALVI,Independent,4947,0.35,Maharashtra,Nandurbar,IND
HEMANT MANSARAM KOLI,Vanchit Bahujan Aaghadi,4081,0.29,Maharashtra,Nandurbar,VBA
DEEPAKKUMAR MADHUKAR SHIRSATH,Independent,3571,0.26,Maharashtra,Nandurbar,IND
RAVINDRA RANJIT VALVI,Bharat Adivasi Party,2625,0.19,Maharashtra,Nandurbar,BAP
JALAMSING SUTUM PAWAR,Independent,2587,0.19,Maharashtra,Nandurbar,IND
GITANJALI SHASHIKANT KOLI,Independent,2381,0.17,Maharashtra,Nandurbar,IND
NOTA,None of the Above,14123,1.01,Maharashtra,Nandurbar,NA
RAJABHAU (PARAG) PRAKASH WAJE,Shiv Sena (Uddhav Balasaheb Thackrey),616729,49.85,Maharashtra,Nashik,SS (UBT)
GODSE HEMANT TUKARAM,Shiv Sena,454728,36.75,Maharashtra,Nashik,SS
KARAN PANDHARINATH GAIKAR,Vanchit Bahujan Aaghadi,47193,3.81,Maharashtra,Nashik,VBA
SHANTIGIRIJI MAUNGIRIJI MAHARAJ,Independent,44524,3.6,Maharashtra,Nashik,IND
ARUN MADHUKAR KALE,Bahujan Samaj Party,7751,0.63,Maharashtra,Nashik,BSP
CHANDRAKANT KESHAVRAO THAKUR,Independent,6608,0.53,Maharashtra,Nashik,IND
AMOL SAMPATRAO KAMBLE,Rashtriya Kisan Bahujan Party,4997,0.4,Maharashtra,Nashik,RKBP
DARSHANA AMOL MEDHE,Prabuddha Republican Party,4736,0.38,Maharashtra,Nashik,PRP
KANOJE PRAKASH GIRDHARI,Independent,3920,0.32,Maharashtra,Nashik,IND
VAMAN MAHADEV SANGALE,Dharmarajya Paksha,3861,0.31,Maharashtra,Nashik,DP
SUDHIR SHRIDHAR DESHMUKH,Independent,3167,0.26,Maharashtra,Nashik,IND
JITENDRA NARESH BHABHE (JITENDRA BHAVE),Independent,3132,0.25,Maharashtra,Nashik,IND
ARIF USMAN MANSURI,Independent,2543,0.21,Maharashtra,Nashik,IND
GANESH BALASAHEB BORASTE,Independent,2404,0.19,Maharashtra,Nashik,IND
JAYSHRI MAHENDRA PATIL,Sainik Samaj Party,2426,0.2,Maharashtra,Nashik,SSP
SIDDHESHWARANAND SARASWATI,Independent,2388,0.19,Maharashtra,Nashik,IND
SUSHAMA ABHIJIT GORANE,Independent,2260,0.18,Maharashtra,Nashik,IND
KANTILAL KISAN JADHAV,Ambedkarite Party of India,2055,0.17,Maharashtra,Nashik,API
CHANDRABHAN AABAJI PURKAR,Independent,1890,0.15,Maharashtra,Nashik,IND
YASHWANT VALU PARDHI,Bhartiya Asmita Party,1874,0.15,Maharashtra,Nashik,BAP
KAILASH MARUTI CHAVAN,Aam Janta Party (India),1703,0.14,Maharashtra,Nashik,AJP (I)
KAMLAKAR BALASAHEB GAIKWAD,Dalit Soshit Pichhara Varg Adhikar Dal,1646,0.13,Maharashtra,Nashik,DSPVAD
DHANAJI ASHOK TOPALE,Independent,1376,0.11,Maharashtra,Nashik,IND
BHAGYASHRI NITIN ADSUL,Indian Peoples Adhikar Party,1244,0.1,Maharashtra,Nashik,IPAP
SOPAN NIVRUTTI SOMWANSHI,Independent,1211,0.1,Maharashtra,Nashik,IND
ADV. ZUNJAR MHASUJI AVHAD,Bahujan Republican Socialist Party,1210,0.1,Maharashtra,Nashik,BRSP
KOLAPPA HANUMANT DHOTRE,Independent,1200,0.1,Maharashtra,Nashik,IND
TILOTTAMA SUNIL JAGTAP,Independent,656,0.05,Maharashtra,Nashik,IND
DEEPAK GAIKWAD,Independent,642,0.05,Maharashtra,Nashik,IND
SACHINRAJE DATTATREYA DEORE,Independent,551,0.04,Maharashtra,Nashik,IND
DEVIDAS PIRAJI SARKATE,Independent,394,0.03,Maharashtra,Nashik,IND
NOTA,None of the Above,6185,0.5,Maharashtra,Nashik,NA
OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,Shiv Sena (Uddhav Balasaheb Thackrey),748752,58.45,Maharashtra,Osmanabad,SS (UBT)
ARCHANA RANAJAGJITSINH PATIL,Nationalist Congress Party,418906,32.7,Maharashtra,Osmanabad,NCP
ANDHALKAR BHAUSAHEB RAOSAHEB,Vanchit Bahujan Aaghadi,33402,2.61,Maharashtra,Osmanabad,VBA
GOVARDHAN SUBRAO NIMBALKAR,Independent,18966,1.48,Maharashtra,Osmanabad,IND
DNYANESHWAR NAGANATHRAO KOLI,Samata Party,6472,0.51,Maharashtra,Osmanabad,SP
KAKASAHEB SANDIPAN KHOT,Independent,5715,0.45,Maharashtra,Osmanabad,IND
SANJAYKUMAR BHAGWAT WAGHMARE,Bahujan Samaj Party,5615,0.44,Maharashtra,Osmanabad,BSP
KAKA FULCHAND KAMBLE,Independent,4811,0.38,Maharashtra,Osmanabad,IND
RAM HANUMANT SHENDAGE,Independent,3263,0.25,Maharashtra,Osmanabad,IND
UMAJI PANDURANG GAIKWAD,Independent,3095,0.24,Maharashtra,Osmanabad,IND
GORE NETAJI NAGNATH,Desh Janhit Party,2336,0.18,Maharashtra,Osmanabad,DJP
HANUMANT LAXMAN BONDAR,Independent,2172,0.17,Maharashtra,Osmanabad,IND
NAVNATH DASHRATH UPALEKAR,Independent,2108,0.16,Maharashtra,Osmanabad,IND
SIDDIK IBRAHIM BAUDIWALE ALIAS GOLABHAI,All India Majlis-E-Ittehadul Muslimeen,2060,0.16,Maharashtra,Osmanabad,AIMM
ARJUN (DADA) SALGAR,Independent,1935,0.15,Maharashtra,Osmanabad,IND
ARYANRAJE KISANRAO SHINDE,Rashtriya Samaj Dal (R),1887,0.15,Maharashtra,Osmanabad,RSD (R)
SHAIKH NAUSHAD IQBAL,Swarajya Shakti Sena,1686,0.13,Maharashtra,Osmanabad,SSS
SHAMRAO HARIBHAU PAWAR,Samnak Janta Party,1509,0.12,Maharashtra,Osmanabad,SJP
YOGIRAJ ANANTA TAMBE,Independent,1336,0.1,Maharashtra,Osmanabad,IND
SOMNATH NANASAHEB KAMBLE,Independent,1268,0.1,Maharashtra,Osmanabad,IND
BHORE NITIN KHANDU,Independent,1204,0.09,Maharashtra,Osmanabad,IND
MANOHAR ANANDRAO PATIL,Independent,1190,0.09,Maharashtra,Osmanabad,IND
NAVNATH VISHWANATH DUDHAL,Vishva Shakti Party,1135,0.09,Maharashtra,Osmanabad,VSP
NITESH SHIVAJI PAWAR,Hindrashtra Sangh,1079,0.08,Maharashtra,Osmanabad,HS
ADV. VISHVJEET VIJAYKUMAR SHINDE,Aadarsh Sangram Party,865,0.07,Maharashtra,Osmanabad,ASP
SHAYANI NAVANATH JADHAV,Independent,782,0.06,Maharashtra,Osmanabad,IND
NITIN NAGNATH GAIKWAD,Independent,731,0.06,Maharashtra,Osmanabad,IND
ADV. BHAUSAHEB ANIL BELURE,Independent,677,0.05,Maharashtra,Osmanabad,IND
VILAS BHAGWAT GHADGE,Independent,610,0.05,Maharashtra,Osmanabad,IND
SAMEERSINGH RAMESHCHANDRA SALVI,Independent,594,0.05,Maharashtra,Osmanabad,IND
RAJKUMAR SAHEBRAO PATIL,Independent,593,0.05,Maharashtra,Osmanabad,IND
NOTA,None of the Above,4298,0.34,Maharashtra,Osmanabad,NA
DR. HEMANT VISHNU SAVARA,Bharatiya Janata Party,601244,43.69,Maharashtra,Palghar,BJP
BHARTI BHARAT KAMDI,Shiv Sena (Uddhav Balasaheb Thackrey),417938,30.37,Maharashtra,Palghar,SS (UBT)
RAJESH RAGHUNATH PATIL,Bahujan Vikas Aaghadi,254517,18.5,Maharashtra,Palghar,BVA
BHARAT SAMJI VANGA,Bahujan Samaj Party,15465,1.12,Maharashtra,Palghar,BSP
MEENA KISHOR BHAD,Independent,14235,1.03,Maharashtra,Palghar,IND
VIJAYA RAJKUMAR MHATRE,Vanchit Bahujan Aaghadi,10936,0.79,Maharashtra,Palghar,VBA
MOHAN BARAKU GUHE,Bharat Adivasi Party,10761,0.78,Maharashtra,Palghar,BAP
DINKAR DATTATRAYA WADHAN,Independent,10687,0.78,Maharashtra,Palghar,IND
AMAR KISAN KAVALE,Independent,9821,0.71,Maharashtra,Palghar,IND
COMRADE RAHUL MEDHA,Marxist Leninist Party of India (Red Flag),7085,0.51,Maharashtra,Palghar,MLPI (RF)
NOTA,None of the Above,23385,1.7,Maharashtra,Palghar,NA
JADHAV SANJAY ( BANDU ) HARIBHAU,Shiv Sena (Uddhav Balasaheb Thackrey),601343,45.17,Maharashtra,Parbhani,SS (UBT)
JANKAR MAHADEV JAGANNATH,Rashtriya Samaj Paksha,467282,35.1,Maharashtra,Parbhani,RSP
PANJAB UTTAMRAO DAKH,Vanchit Bahujan Aaghadi,95967,7.21,Maharashtra,Parbhani,VBA
DR. GOVARDHAN BHIWAJI KHANDAGALE,Bahujan Bharat Party,15395,1.16,Maharashtra,Parbhani,BBP
KAMBLE SHIVAJI DEVAJI,Independent,11060,0.83,Maharashtra,Parbhani,IND
ALAMGIR MOHAMMAD KHAN,Bahujan Samaj Party,11062,0.83,Maharashtra,Parbhani,BSP
SAMIR GANESHRAO DUDHGAONKAR,Independent,11056,0.83,Maharashtra,Parbhani,IND
KRUSHNA TRIMBAKRAO PAWAR,Independent,10154,0.76,Maharashtra,Parbhani,IND
KAILAS BALIRAM PAWAR (NAIK),Baliraja Party,9520,0.72,Maharashtra,Parbhani,BP
PROF. DR. VILAS BANSIDHAR TANGADE,Independent,8820,0.66,Maharashtra,Parbhani,IND
ARJUN DNYANOBA BHISE,Independent,6923,0.52,Maharashtra,Parbhani,IND
COMRADE RAJAN KSHIRSAGAR,Communist Party of India,6649,0.5,Maharashtra,Parbhani,CPI
KISHORKUMAR PRAKASH SHINDE,Independent,6548,0.49,Maharashtra,Parbhani,IND
KISHORE RADHAKISHAN DHAGE,Independent,5480,0.41,Maharashtra,Parbhani,IND
SAYED IRSHAD ALI SAYYED LAYAKH ALI,Social Democratic Party Of India,4644,0.35,Maharashtra,Parbhani,SDPI
DASHARATH PRABHKAR RATHOD,Maharashtra Vikas Aghadi,4394,0.33,Maharashtra,Parbhani,MVA
KARBHARI KUNDLIK MITHE,Independent,4276,0.32,Maharashtra,Parbhani,IND
APPASAHEB OMKAR KADAM,Independent,3891,0.29,Maharashtra,Parbhani,IND
SHRIRAM BANSILAL JADHAV,Jai Sewalal Bahujan Vikas Party,3628,0.27,Maharashtra,Parbhani,JSBVP
COMRADE GANPAT BHISE,Independent,3604,0.27,Maharashtra,Parbhani,IND
DNYANESHWAR JAGANNATH DAHIBHATE,Independent,3539,0.27,Maharashtra,Parbhani,IND
ANIL MANIKRAO MUDGALKAR,Independent,3533,0.27,Maharashtra,Parbhani,IND
GOVIND BHAIYYA RAMRAO DESHMUKH,Independent,3459,0.26,Maharashtra,Parbhani,IND
SUBHASH DATTARAV JAVLE,Independent,3434,0.26,Maharashtra,Parbhani,IND
RAJABHAU SHESHRAO KAKDE,Independent,3302,0.25,Maharashtra,Parbhani,IND
RAJENDRA RAMDAS ATKAL,Independent,2812,0.21,Maharashtra,Parbhani,IND
SAYYD ABDUL SATTAR AJIJ,Independent,2650,0.2,Maharashtra,Parbhani,IND
SHAIKH SALEEM SHAIKH IBRAHIM,All India Majlis-E-Inquilab-E-Millat,2619,0.2,Maharashtra,Parbhani,AIM
SANGEETA VYAKANTRAO GIRI,Swarajya Shakti Sena,2339,0.18,Maharashtra,Parbhani,SSS
ADV. VINOD CHHAGANRAO AMBHORE,Bahujan Mukti Party,2041,0.15,Maharashtra,Parbhani,BMP
VIJAY ANNASAHEB THOMBARE,Independent,1959,0.15,Maharashtra,Parbhani,IND
VISHNUDAS SHIVAJI BHOSALE,Independent,1860,0.14,Maharashtra,Parbhani,IND
MUSTAFA MAINODDIN SHAIKH,Independent,1302,0.1,Maharashtra,Parbhani,IND
BOBADE SAKHARAM PADEGAONKAR,Independent,1246,0.09,Maharashtra,Parbhani,IND
NOTA,None of the Above,3385,0.25,Maharashtra,Parbhani,NA
MURLIDHAR MOHOL,Bharatiya Janata Party,584728,52.94,Maharashtra,Pune,BJP
DHANGEKAR RAVINDRA HEMRAJ,Indian National Congress,461690,41.8,Maharashtra,Pune,INC
VASANT (TATYA) MORE,Vanchit Bahujan Aaghadi,32012,2.9,Maharashtra,Pune,VBA
RANPISE PRASHANT DADARAM,Bahujan Samaj Party,3974,0.36,Maharashtra,Pune,BSP
CHORMALE SANDIP SOPAN,Independent,1645,0.15,Maharashtra,Pune,IND
GORAKH NARAYAN GHODKE,Independent,1451,0.13,Maharashtra,Pune,IND
KIRAN LAXMAN RAYKAR,Independent,1052,0.1,Maharashtra,Pune,IND
ANIS ARASHID SUNDAKE,All India Majlis-E-Ittehadul Muslimeen,860,0.08,Maharashtra,Pune,AIMM
SACHIN DATTATRAY DHANKUDE,Independent,789,0.07,Maharashtra,Pune,IND
YUVRAJ CHANDRAKANT LIMBOLE,Right to Recall Party,698,0.06,Maharashtra,Pune,RRP
DR. DEVYANI PANDIT,Independent,650,0.06,Maharashtra,Pune,IND
NARENDRA DNYANESHWAR PAWTEKAR,Independent,534,0.05,Maharashtra,Pune,IND
SAGAR SAMBHAJI PORE,Independent,515,0.05,Maharashtra,Pune,IND
SURESH DNYANOBA PATIL,Sainik Samaj Party,437,0.04,Maharashtra,Pune,SSP
AMBORE MANJUNATH MARUTI,Independent,433,0.04,Maharashtra,Pune,IND
ASHWINI PRATIBHA KHAIRNAR,Independent,415,0.04,Maharashtra,Pune,IND
VIJAY VINAYAK JAGTAP,Independent,382,0.03,Maharashtra,Pune,IND
HEMANT BABURAV KOLEKAR ALIAS HEMANT PATIL,Apni Prajahit Party,375,0.03,Maharashtra,Pune,APP
NEERAJ SUNIL KAMTHAN,Hindu Samaj Party,351,0.03,Maharashtra,Pune,HSP
MANOJ LAXMAN VETAL,Bhim Sena,352,0.03,Maharashtra,Pune,BS
KAMBLE MILIND,Bahujan Samaj Party (Ambedkar),347,0.03,Maharashtra,Pune,BSP (A)
CHANDRAKANT PARMESHWAR SAWANT,Independent,314,0.03,Maharashtra,Pune,IND
SHABBIR SAJJANBHAI TAMBOLI,Independent,313,0.03,Maharashtra,Pune,IND
SANJAY LAXMAN KENDALE,Independent,311,0.03,Maharashtra,Pune,IND
JOHNSON VASANT KOLHAPURE,Independent,305,0.03,Maharashtra,Pune,IND
ADV. YOGESH MAKANE,Independent,299,0.03,Maharashtra,Pune,IND
SUBROTO ROY,Ekam Sanatan Bharat Dal,294,0.03,Maharashtra,Pune,ESBD
DR. BALASAHEB ARJUN POL,Independent,259,0.02,Maharashtra,Pune,IND
VIJAYALAXMI SHRIKANT SINDAGI,Rashtriya Maratha Party,240,0.02,Maharashtra,Pune,RMP
MAHESH DASHRATH MHASKE,Independent,231,0.02,Maharashtra,Pune,IND
YABES ALIAS AMOL SHAMUVEL TUJARE,Independent,223,0.02,Maharashtra,Pune,IND
VIJAY PANDURANGRAO DESHMUKH (DABADGAONKAR),Independent,185,0.02,Maharashtra,Pune,IND
BABA SALIM SAYYED,Independent,164,0.01,Maharashtra,Pune,IND
BAGBAN SALEEM ABDUL RAZZAQUE,Independent,146,0.01,Maharashtra,Pune,IND
ZNYOSHO VIJAYPRAKASH,Independent,138,0.01,Maharashtra,Pune,IND
NOTA,None of the Above,7460,0.68,Maharashtra,Pune,NA
TATKARE SUNIL DATTATREY,Nationalist Congress Party,508352,50.17,Maharashtra,Raigad,NCP
ANANT GEETE,Shiv Sena (Uddhav Balasaheb Thackrey),425568,42,Maharashtra,Raigad,SS (UBT)
KUMUDINI RAVINDRA CHAVAN,Vanchit Bahujan Aaghadi,19618,1.94,Maharashtra,Raigad,VBA
SHRINIVAS SATYANARAYAN MATTAPARTI,Independent,9394,0.93,Maharashtra,Raigad,IND
AMIT SHRIPAL KAWADE,Independent,5634,0.56,Maharashtra,Raigad,IND
ANANT BALOJI GITE,Independent,3515,0.35,Maharashtra,Raigad,IND
NITIN JAGANNATH MAYEKAR,Independent,2560,0.25,Maharashtra,Raigad,IND
CHAULE PANDURANG DAMODAR,Independent,2417,0.24,Maharashtra,Raigad,IND
ANANT PADMA GITE,Independent,2040,0.2,Maharashtra,Raigad,IND
COL PRAKASHRAO CHAVAN,Bharatheeya Jawan Kisan Party,1939,0.19,Maharashtra,Raigad,BJKP
KOLI MANGESH PADMAKAR,Independent,1820,0.18,Maharashtra,Raigad,IND
ADV AJAY UPADHYE,Independent,1795,0.18,Maharashtra,Raigad,IND
ANJANI ASHWIN KELKAR,Independent,1350,0.13,Maharashtra,Raigad,IND
NOTA,None of the Above,27270,2.69,Maharashtra,Raigad,NA
Shyamkumar (Babalu) Daulat Barve,Indian National Congress,613025,48.94,Maharashtra,Ramtek,INC
RAJU DEONATH PARVE,Shiv Sena,536257,42.81,Maharashtra,Ramtek,SS
SANDIP SAHADEO MESHRAM,Bahujan Samaj Party,26098,2.08,Maharashtra,Ramtek,BSP
KISHORE UTTAMRAO GAJBHIYE,Independent,24383,1.95,Maharashtra,Ramtek,IND
AJAY BAKARAM CHAVAN,Independent,6026,0.48,Maharashtra,Ramtek,IND
SANVIDHAN G LOKHANDE,Baliraja Party,5814,0.46,Maharashtra,Ramtek,BP
ROSHANI ATUL GAJBHIYE,Gondvana Gantantra Party,5137,0.41,Maharashtra,Ramtek,GGP
GOWARDHAN DEORAO KUMBHARE,Viro Ke Vir Indian Party,3766,0.3,Maharashtra,Ramtek,VKVIP
ARVIND SHIVAJI TANDEKAR,Independent,3215,0.26,Maharashtra,Ramtek,IND
SANJAY VASANTRAO BORKAR,Maharashtra Vikas Aghadi,1992,0.16,Maharashtra,Ramtek,MVA
SHANKAR CHINTAMAN CHAHANDE,Vanchit Bahujan Aaghadi,1884,0.15,Maharashtra,Ramtek,VBA
ADV BHIMRAO SHENDE,Bahujan Republican Socialist Party,1818,0.15,Maharashtra,Ramtek,BRSP
GAIKWAD MANJUSHA SACHIN,Akhil Bhartiya Parivar Party,1773,0.14,Maharashtra,Ramtek,ABPP
ASHISH BHAURAO SARODE,Bhim Sena,1620,0.13,Maharashtra,Ramtek,BS
PRAMOD SHRIPAT KHOBRAGADE,Ambedkarite Party of India,1340,0.11,Maharashtra,Ramtek,API
UMESH RAJU KHADSE,Rashtra Samarpan Party,1229,0.1,Maharashtra,Ramtek,RSP
SIDDHARTH GADIJI PATIL,Peoples Party of India (Democratic),977,0.08,Maharashtra,Ramtek,PPI (D)
PREMKUMAR DASHRATH GAJBHARE,Independent,925,0.07,Maharashtra,Ramtek,IND
RIDDHESHWAR ANANDRAO BELEY,Republican Party of India (A),913,0.07,Maharashtra,Ramtek,RPI ()
BHOJRAJ TUKARAM SARODE,Jay Vidarbha Party,888,0.07,Maharashtra,Ramtek,JVP
VILAS SHRIPAT KHADSE,Independent,860,0.07,Maharashtra,Ramtek,IND
SUBHASH LOKHANDE,Independent,850,0.07,Maharashtra,Ramtek,IND
KARTIK GENDLALJI DOKE,Independent,847,0.07,Maharashtra,Ramtek,IND
ADV ULHAS SHALIKRAM DUPARE,Independent,781,0.06,Maharashtra,Ramtek,IND
LAROKAR SURESH PUNDLIK,Independent,698,0.06,Maharashtra,Ramtek,IND
SUNIL UTTAMRAO SALVE,Independent,651,0.05,Maharashtra,Ramtek,IND
GOWARDHAN NAMDEO SOMDEVE,Independent,511,0.04,Maharashtra,Ramtek,IND
VILAS GANESH ZODAPE,Independent,407,0.03,Maharashtra,Ramtek,IND
NOTA,None of the Above,7827,0.62,Maharashtra,Ramtek,NA
NARAYAN TATU RANE,Bharatiya Janata Party,448514,49.07,Maharashtra,Ratnagiri- Sindhudurg,BJP
VINAYAK BHAURAO RAUT,Shiv Sena (Uddhav Balasaheb Thackrey),400656,43.83,Maharashtra,Ratnagiri- Sindhudurg,SS (UBT)
VINAYAK LAVU RAUT,Independent,15826,1.73,Maharashtra,Ratnagiri- Sindhudurg,IND
MARUTI RAMACHANDRA JOSHI,Vanchit Bahujan Aaghadi,10039,1.1,Maharashtra,Ratnagiri- Sindhudurg,VBA
AAYARE RAJENDRA LAHU,Bahujan Samaj Party,7856,0.86,Maharashtra,Ratnagiri- Sindhudurg,BSP
SHAKIL SAWANT,Independent,6395,0.7,Maharashtra,Ratnagiri- Sindhudurg,IND
TAMBADE AMRUT ANANT (RAJAPURKAR),Independent,5582,0.61,Maharashtra,Ratnagiri- Sindhudurg,IND
